Franz,28
Andew,13
Mark,4
Cloe,12
Gillian,23
Jose,17
Bae, 3
Maginoo,1
Pero,4
Medyo,3
Bastos,0
leloy,3
oh no,0
Tor,17
tomy pogi,34
deion,29
g,25
carlos,29
neil,35
niel,34
niel,15
arvin,8
Christine,9
Nymeria,21
deion,20
CJ,32
CHER,16
CHER,15
DREW,24
test,11
Franz,44
test,27
simon,41
BART,48
cLYDE,66
SHALOM,26
ANTHONY,50
k,37
k,30
KUYS,39
ANTHONY,36
KURT,43
kurt,47
kuya,41
Gia,32
nicky,11
nicky,40
nicky,39
nicky,27
matt,41
niko,36
niko,42
niko,47
niko,44
niko,56
luis,39
jeese r,25
g,30
Gia,41
g,31
g,29
k,37
Rein,35
k,33
k,12
k,12
Rijel,15
rijel,10
k,22
k,19
f,13
r,10
Earl,66
KURT,72
kURT,45
Rein,46
mldm,51
basura ng code,40
Franz,55
pisting javascript,45
aaaaaaaaaaaaa,13
bobo,45
TANGINA MO RAYMART,32
./.,32
potapotapota,37
TANGINA MO RAYMART,100
